pop,garden,year,ssp,plotid,ploidy,type,family,subsamp,weight,long,lat,elev,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD0 ,DD5 ,DDL18 ,DDG18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,DD0_wt ,DD5_sm 
AZT1,Majors,y12,w,414,4x,t4x,AZT-1-4,a,52.546,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Majors,y13,w,414,4x,t4x,AZT-1-4,a,2.2855,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Majors,y12,w,414,4x,t4x,AZT-1-4,b,28.0026,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Majors,y13,w,414,4x,t4x,AZT-1-4,b,2.5725,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Majors,y12,w,325,4x,t4x,AZT-1-5,a,78.3438,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y12,w,133,4x,t4x,AZT-1-5,a,0.2166,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Majors,y13,w,325,4x,t4x,AZT-1-5,a,27.459,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y13,w,133,4x,t4x,AZT-1-5,a,0,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Majors,y12,w,325,4x,t4x,AZT-1-5,b,33.5997,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y12,w,133,4x,t4x,AZT-1-5,b,0.0076,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Majors,y13,w,325,4x,t4x,AZT-1-5,b,43.0677,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y13,w,133,4x,t4x,AZT-1-5,b,0,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y12,w,228,4x,t4x,AZT-1-8,a,0.0054,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y13,w,228,4x,t4x,AZT-1-8,a,0,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y12,w,228,4x,t4x,AZT-1-8,b,0.0198,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZT1,Orchard,y13,w,228,4x,t4x,AZT-1-8,b,0.0009,-111.7729,35.9174,1898,9.9,21.8,-1,22.8,340,137,58.4,159.6,239,2393,3259,304,198,142,280,138,30,-32,38.4,18.2,1150,870,48,90,75,95,80,196,1398
AZW1,Majors,y12,w,318,4x,t4x,AZW-1-2,a,2.9036,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Majors,y13,w,318,4x,t4x,AZW-1-2,a,7.2112,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Majors,y12,w,318,4x,t4x,AZW-1-2,b,7.7928,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Majors,y13,w,318,4x,t4x,AZW-1-2,b,8.5424,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y12,w,86,4x,t4x,AZW-1-6,a,0,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y13,w,86,4x,t4x,AZW-1-6,a,0.0024,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y12,w,86,4x,t4x,AZW-1-6,b,0,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y13,w,86,4x,t4x,AZW-1-6,b,0,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Majors,y12,w,200,4x,t4x,AZW-1-8,a,71.568,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Majors,y13,w,200,4x,t4x,AZW-1-8,a,0.068,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Majors,y12,w,200,4x,t4x,AZW-1-8,b,48.282,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Majors,y13,w,200,4x,t4x,AZW-1-8,b,0.0856,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y12,w,334,4x,t4x,AZW-1-9,a,0.0238,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y13,w,334,4x,t4x,AZW-1-9,a,0.0048,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y12,w,334,4x,t4x,AZW-1-9,b,0.0021,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
AZW1,Orchard,y13,w,334,4x,t4x,AZW-1-9,b,0.0018,-112.1312,35.8248,1914,9.9,21.2,-0.6,21.8,291,146,68.4,145.5,222,2367,3227,282,191,148,279,131,19,-32.7,39,18.4,1208,938,45,64,48,103,76,182,1367
CAT1,Majors,y12,t,137,2x,t2x,CAT-1-2,a,58.2675,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y12,t,39,2x,t2x,CAT-1-2,a,0.0876,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Majors,y13,t,137,2x,t2x,CAT-1-2,a,4.066,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y13,t,39,2x,t2x,CAT-1-2,a,0.0078,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Majors,y12,t,137,2x,t2x,CAT-1-2,b,49.776,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y12,t,39,2x,t2x,CAT-1-2,b,2.412,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Majors,y13,t,137,2x,t2x,CAT-1-2,b,0.2812,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y13,t,39,2x,t2x,CAT-1-2,b,0.009,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Majors,y12,t,259,2x,t2x,CAT-1-3,a,16.8646,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Majors,y13,t,259,2x,t2x,CAT-1-3,a,1.08,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Majors,y12,t,259,2x,t2x,CAT-1-3,b,25.9435,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Majors,y13,t,259,2x,t2x,CAT-1-3,b,1.9485,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y12,t,225,2x,t2x,CAT-1-5,a,38.836,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y13,t,225,2x,t2x,CAT-1-5,a,20.3796,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y12,t,225,2x,t2x,CAT-1-5,b,73.6848,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT1,Orchard,y13,t,225,2x,t2x,CAT-1-5,b,29.0931,-119.9194,40.5414,1213,10,22,-0.7,22.7,221,64,90.3,342.4,223,2394,3224,305,202,140,271,131,23,-30.7,41.6,16.5,1112,948,48,81,51,33,56,183,1400
CAT2,Orchard,y12,t,52,2x,t2x,CAT-2-1,a,9.8542,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Orchard,y13,t,52,2x,t2x,CAT-2-1,a,6.332,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Orchard,y12,t,52,2x,t2x,CAT-2-1,b,8.5927,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Orchard,y13,t,52,2x,t2x,CAT-2-1,b,5.441,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y12,t,202,2x,t2x,CAT-2-2,a,5.6472,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y13,t,202,2x,t2x,CAT-2-2,a,26.8775,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y12,t,202,2x,t2x,CAT-2-2,b,14.313,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y13,t,202,2x,t2x,CAT-2-2,b,34.145,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y12,t,24,2x,t2x,CAT-2-3,a,66.7074,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y13,t,24,2x,t2x,CAT-2-3,a,0.836,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y12,t,24,2x,t2x,CAT-2-3,b,87.3226,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Majors,y13,t,24,2x,t2x,CAT-2-3,b,1.5158,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Orchard,y12,t,311,2x,t2x,CAT-2-9,a,1.4014,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Orchard,y13,t,311,2x,t2x,CAT-2-9,a,0.406,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Orchard,y12,t,311,2x,t2x,CAT-2-9,b,1.1418,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
CAT2,Orchard,y13,t,311,2x,t2x,CAT-2-9,b,0.07,-118.5704,37.7973,1974,8.5,19.8,-1,20.8,289,67,64.2,294.7,267,1992,3605,164,174,152,262,110,46,-33.3,39.2,19.4,1090,887,45,124,65,39,60,206,1214
COT1,Majors,y12,t,375,2x,t2x,COT-1-1,a,236.0836,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y12,t,226,2x,t2x,COT-1-1,a,13.8448,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Majors,y13,t,375,2x,t2x,COT-1-1,a,130.3547,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y13,t,226,2x,t2x,COT-1-1,a,5.887,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Majors,y12,t,375,2x,t2x,COT-1-1,b,172.5518,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y12,t,226,2x,t2x,COT-1-1,b,19.9376,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Majors,y13,t,375,2x,t2x,COT-1-1,b,73.1031,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y13,t,226,2x,t2x,COT-1-1,b,5.1702,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Majors,y12,t,136,2x,t2x,COT-1-5,a,101.244,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Majors,y13,t,136,2x,t2x,COT-1-5,a,19.6854,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Majors,y12,t,136,2x,t2x,COT-1-5,b,104.8333,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Majors,y13,t,136,2x,t2x,COT-1-5,b,21.9177,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y12,t,382,2x,t2x,COT-1-6,a,0.0072,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y13,t,382,2x,t2x,COT-1-6,a,0,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y12,t,382,2x,t2x,COT-1-6,b,0.0036,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COT1,Orchard,y13,t,382,2x,t2x,COT-1-6,b,0,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y12,w,214,4x,w4x,COW-1-10,a,38.4499,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y13,w,214,4x,w4x,COW-1-10,a,0.6978,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y12,w,214,4x,w4x,COW-1-10,b,58.1538,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y13,w,214,4x,w4x,COW-1-10,b,0.9462,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Orchard,y12,w,252,4x,w4x,COW-1-2,a,0.0132,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Orchard,y13,w,252,4x,w4x,COW-1-2,a,0.0027,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Orchard,y12,w,252,4x,w4x,COW-1-2,b,0.0033,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Orchard,y13,w,252,4x,w4x,COW-1-2,b,0.0018,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y12,w,351,4x,w4x,COW-1-6,a,18.0978,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y13,w,351,4x,w4x,COW-1-6,a,4.6774,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Orchard,y13,w,327,4x,w4x,COW-1-6,a,0.0003,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y12,w,351,4x,w4x,COW-1-6,b,20.4321,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Majors,y13,w,351,4x,w4x,COW-1-6,b,5.5757,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW1,Orchard,y13,w,327,4x,w4x,COW-1-6,b,0,-107.81,39.6127,1790,8.5,21.7,-4.7,26.4,346,147,53.4,147.6,454,2313,3740,279,191,135,273,138,59,-35.6,39,18,1016,747,50,77,93,80,96,383,1375
COW2,Orchard,y12,w,163,4x,w4x,COW-2-10,a,0,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Orchard,y13,w,163,4x,w4x,COW-2-10,a,0,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Orchard,y12,w,163,4x,w4x,COW-2-10,b,0,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Orchard,y13,w,163,4x,w4x,COW-2-10,b,0,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Orchard,y12,w,72,4x,w4x,COW-2-3,a,0,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Orchard,y13,w,72,4x,w4x,COW-2-3,a,0.0006,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Orchard,y12,w,72,4x,w4x,COW-2-3,b,0,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Majors,y12,w,437,4x,w4x,COW-2-5,a,14.3395,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Majors,y13,w,437,4x,w4x,COW-2-5,a,2.439,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Majors,y12,w,437,4x,w4x,COW-2-5,b,12.95,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Majors,y13,w,437,4x,w4x,COW-2-5,b,3.5184,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
COW2,Majors,y12,w,271,4x,w4x,COW-2-9,a,75.3228,-108.4555,40.1813,1788,7.5,21.7,-6.6,28.3,297,134,59,161.8,616,2190,4070,266,177,140,266,125,56,-38.6,39.5,17,1003,757,47,50,85,72,89,518,1363
